ekicode,groupcode,name,noriire,ido,keido
2100102,2100102,北池袋,2,139.716749,35.741283
2100103,2100103,下板橋,2,139.714785,35.745721
2100104,2100104,大山,2,139.702589,35.748398
2100105,2100105,中板橋,2,139.694628,35.756214
2100106,2100106,ときわ台,2,139.689015,35.758771
2100107,2100107,上板橋,2,139.67641,35.763596
2100108,2100108,東武練馬,2,139.661964,35.768698
2100109,2100109,下赤塚,2,139.644482,35.770558
2100110,2100110,成増,3,139.632708,35.777723
2100201,2100201,浅草,10,139.798214,35.711883
2100202,2100202,とうきょうスカイツリー,2,139.809332,35.71043
2100203,2100203,押上〈スカイツリー前〉,3,139.812935,35.710702
2100204,2100204,曳舟,5,139.816634,35.718418
2100205,2100205,東向島,2,139.819306,35.724324
2100206,2100206,鐘ヶ淵,2,139.820344,35.733712
2100207,2100207,堀切,4,139.817727,35.742977
2100208,2100208,牛田,2,139.811816,35.744555
2100209,1132005,北千住,9,139.805564,35.749891
2100210,2100210,小菅,2,139.812935,35.759039
2100211,2100211,五反野,2,139.809643,35.765852
2100212,2100212,梅島,2,139.797916,35.772437
2100213,2100213,西新井,5,139.790372,35.777323
2100214,2100214,竹ノ塚,1,139.790788,35.794368
2100501,2100204,曳舟,5,139.816634,35.718418
2100502,2100502,小村井,2,139.827595,35.710316
2100503,2100503,東あずま,2,139.831883,35.707067
2100504,2100504,亀戸水神,2,139.833422,35.699976
2100505,1131323,亀戸,4,139.826791,35.697708
2100601,2100213,西新井,5,139.790372,35.777323
2100602,2100602,大師前,1,139.781647,35.778989
2200101,1130212,池袋,18,139.711461,35.72913
2200102,2200102,椎名町,2,139.694363,35.726572
2200103,2200103,東長崎,2,139.683294,35.73003
2200104,2200104,江古田,4,139.672814,35.737557
2200105,2200105,桜台,4,139.662602,35.738797
2200106,2200106,練馬,12,139.654368,35.737893
2200107,2200107,中村橋,2,139.637456,35.736767
2200108,2200108,富士見台,2,139.62969,35.735867
2200109,2200109,練馬高野台,2,139.616749,35.740622
2200110,2200110,石神井公園,2,139.606981,35.743563
2200111,2200111,大泉学園,2,139.586732,35.749406
2200112,2200112,保谷,2,139.567753,35.748222
2200113,2200113,ひばりヶ丘,2,139.545852,35.751485
2200114,2200114,東久留米,2,139.533739,35.760445
2200115,2200115,清瀬,2,139.519917,35.772221
2200116,2200116,秋津,2,139.496539,35.778614
2200301,2200301,小竹向原,5,139.678572,35.743803
2200302,2200302,新桜台,2,139.6683,35.74077
2200303,2200106,練馬,12,139.654368,35.737893
