station_cd1,station_cd2,Lline_cd
1111704,1111705,L11117
1111705,1111706,L11117
1111706,1111707,L11117
1111707,1111708,L11117
1111708,1111709,L11117
1111709,1111710,L11117
1111710,1111712,L11117
1111712,1111713,L11117
1111713,1111714,L11117
1111714,1111715,L11117
1111715,1111716,L11117
1111716,1111717,L11117
1111717,1111719,L11117
1111719,1111720,L11117
1111720,1111722,L11117
1111722,1111723,L11117
1111723,1111724,L11117
1111724,1111725,L11117
1111725,1111726,L11117
1111726,1111727,L11117
1111727,1111728,L11117
1111801,1111802,L11118
1111802,1111806,L11118
1111910,1111911,L11119
1111911,1111912,L11119
1111912,1111913,L11119
1111913,1111914,L11119
1111914,1111915,L11119
1111915,1111916,L11119
1111916,1111917,L11119
1111917,1111918,L11119
1111918,1111919,L11119
1111919,1111920,L11119
1111920,1111921,L11119
1111921,1111922,L11119
1120201,1120202,L11202
1120202,1120203,L11202
1120203,1120204,L11202
1120204,1120205,L11202
1120205,1120206,L11202
1120206,1120207,L11202
1120207,1120208,L11202
1120208,1120209,L11202
1120209,1120210,L11202
1120210,1120211,L11202
1120211,1120212,L11202
1120212,1120213,L11202
1120213,1120214,L11202
1120214,1120215,L11202
1120215,1120216,L11202
1120216,1120217,L11202
1120217,1120218,L11202
1120218,1120219,L11202
1120219,1120220,L11202
1120220,1120221,L11202
1120221,1120222,L11202
1120222,1120223,L11202
1120223,1120224,L11202
1120224,1120225,L11202
1120225,1120226,L11202
1120226,1120227,L11202
1120227,1120228,L11202
1120228,1120267,L11202
1120229,1120230,L11202
1120230,1120231,L11202
1120231,1120232,L11202
1120232,1120233,L11202
1120233,1120234,L11202
1120234,1120235,L11202
1120235,1120236,L11202
1120236,1120237,L11202
1120237,1120238,L11202
1120238,1120239,L11202
1120239,1120240,L11202
1120240,1120241,L11202
1120241,1120242,L11202
1120242,1120243,L11202
1120243,1120244,L11202
1120244,1120245,L11202
1120245,1120246,L11202
1120246,1120247,L11202
1120247,1120248,L11202
1120248,1120249,L11202
1120249,1120250,L11202
1120250,1120251,L11202
1120251,1120252,L11202
1120252,1120253,L11202
1120253,1120254,L11202
1120254,1120255,L11202
1120255,1120256,L11202
1120256,1120257,L11202
1120257,1120258,L11202
1120258,1120259,L11202
1120259,1120260,L11202
1120260,1120261,L11202
1120261,1120262,L11202
1120262,1120263,L11202
1120263,1120264,L11202
1120264,1120265,L11202
1120265,1120266,L11202
1120267,1120229,L11202
1120301,1120302,L11203
1120302,1120303,L11203
1120303,1120304,L11203
1120304,1120305,L11203
1120305,1120306,L11203
1120306,1120307,L11203
1120307,1120308,L11203
1120308,1120309,L11203
1120309,1120310,L11203
1120310,1120311,L11203
1120401,1120402,L11204
1120402,1120403,L11204
1120403,1120404,L11204
1120404,1120405,L11204
1120405,1120406,L11204
1120406,1120407,L11204
1120407,1120408,L11204
1120408,1120409,L11204
1120409,1120410,L11204
1120410,1120411,L11204
1120411,1120412,L11204
1120412,1120413,L11204
1120413,1120414,L11204
1120414,1120415,L11204
1120415,1120416,L11204
1120416,1120417,L11204
1120417,1120418,L11204
1120418,1120419,L11204
1120419,1120420,L11204
1120420,1120421,L11204
1120421,1120422,L11204
1120422,1120423,L11204
1120423,1120424,L11204
1120424,1120425,L11204
1120425,1120426,L11204
1120426,1120427,L11204
1120427,1120428,L11204
1120428,1120429,L11204
1120429,1120430,L11204
1120430,1120431,L11204
1120431,1120432,L11204
1120432,1120433,L11204
1120433,1120434,L11204
1120434,1120435,L11204
1120435,1120436,L11204
1120436,1120437,L11204
1120437,1120438,L11204
1120438,1120439,L11204
1120439,1120440,L11204
1120440,1120441,L11204
1120441,1120442,L11204
1120442,1120443,L11204
1120501,1120502,L11205
1120502,1120503,L11205
1120503,1120504,L11205
1120504,1120505,L11205
1120505,1120506,L11205
1120506,1120507,L11205
1120507,1120508,L11205
1120508,1120509,L11205
1120509,1120510,L11205
1120510,1120511,L11205
1120511,1120512,L11205
1120512,1120513,L11205
1120513,1120514,L11205
1120514,1120515,L11205
1120515,1120516,L11205
1120516,1120517,L11205
1120517,1120518,L11205
1120601,1120602,L11206
1120602,1120603,L11206
1120603,1120604,L11206
1120604,1120605,L11206
1120605,1120606,L11206
1120606,1120607,L11206
1120607,1120609,L11206
1120609,1120610,L11206
1120610,1120611,L11206
1120611,1120612,L11206
1120612,1120613,L11206
1120613,1120614,L11206
1120614,1120615,L11206
1120615,1120616,L11206
1120616,1120617,L11206
1120617,1120618,L11206
1120618,1120619,L11206
1120619,1120620,L11206
1120620,1120621,L11206
1120621,1120622,L11206
1120622,1120623,L11206
1120623,1120624,L11206
1120624,1120625,L11206
1120701,1120702,L11207
1120702,1120703,L11207
1120703,1120704,L11207
1120704,1120705,L11207
1120705,1120706,L11207
1120706,1120707,L11207
1120707,1120708,L11207
1120708,1120709,L11207
1120801,1120802,L11208
1120802,1120803,L11208
1120803,1120804,L11208
1120804,1120805,L11208
1120805,1120806,L11208
1120806,1120807,L11208
1120807,1120808,L11208
1120808,1120809,L11208
1120809,1120810,L11208
1120810,1120811,L11208
1120811,1120812,L11208
1120812,1120813,L11208
1120813,1120814,L11208
1120901,1120902,L11209
1120902,1120903,L11209
1120903,1120904,L11209
1120904,1120905,L11209
1120905,1120906,L11209
1120906,1120907,L11209
1120907,1120908,L11209
1120908,1120909,L11209
1120909,1120910,L11209
1120910,1120911,L11209
1120911,1120912,L11209
1120912,1120913,L11209
1120913,1120914,L11209
1120914,1120915,L11209
1120915,1120916,L11209
1120916,1120917,L11209
1120917,1120918,L11209
1120918,1120919,L11209
1120919,1120920,L11209
1120920,1120921,L11209
1120921,1120922,L11209
1120922,1120923,L11209
1120923,1120924,L11209
1121001,1121002,L11210
1121002,1121003,L11210
1121003,1121004,L11210
1121004,1121005,L11210
1121005,1121006,L11210
1121006,1121007,L11210
1121007,1121008,L11210
1121008,1121009,L11210
1121009,1121010,L11210
1121010,1121011,L11210
1121011,1121012,L11210
1121012,1121013,L11210
1121013,1121014,L11210
1121014,1121015,L11210
1121015,1121016,L11210
1121016,1121017,L11210
1121101,1121102,L11211
1121102,1121103,L11211
1121103,1121104,L11211
1121104,1121105,L11211
1121105,1121106,L11211
1121106,1121107,L11211
1121107,1121108,L11211
1121108,1121109,L11211
1121109,1121110,L11211
1121110,1121111,L11211
1121111,1121112,L11211
1121112,1121113,L11211
1121113,1121114,L11211
1121114,1121115,L11211
1121115,1121116,L11211
1121116,1121117,L11211
1121201,1121202,L11212
1121202,1121203,L11212
1121203,1121204,L11212
1121204,1121205,L11212
1121205,1121206,L11212
1121206,1121207,L11212
1121207,1121208,L11212
1121208,1121209,L11212
1121209,1121210,L11212
1121210,1121211,L11212
1121211,1121212,L11212
1121212,1121213,L11212
1121213,1121214,L11212
1121214,1121215,L11212
1121215,1121216,L11212
1121216,1121217,L11212
1121217,1121218,L11212
1121218,1121219,L11212
1121219,1121220,L11212
1121220,1121221,L11212
1121221,1121222,L11212
1121222,1121223,L11212
1121223,1121224,L11212
1121224,1121225,L11212
1121225,1121226,L11212
1121226,1121227,L11212
1121301,1121302,L11213
1121302,1121303,L11213
1121303,1121304,L11213
1121304,1121307,L11213
1121307,1121308,L11213
1121308,1121309,L11213
1121309,1121310,L11213
1121310,1121311,L11213
1121311,1121312,L11213
1121312,1121313,L11213
1121313,1121314,L11213
1121314,1121315,L11213
1121315,1121316,L11213
1121316,1121317,L11213
1121317,1121318,L11213
1121401,1121402,L11214
1121402,1121403,L11214
1121403,1121404,L11214
1121404,1121405,L11214
1121405,1121406,L11214
1121406,1121407,L11214
1121407,1121408,L11214
1121408,1121409,L11214
1121409,1121410,L11214
1121410,1121411,L11214
1121411,1121412,L11214
1121412,1121413,L11214
1121413,1121414,L11214
1121414,1121415,L11214
1121415,1121416,L11214
1121416,1121417,L11214
1121417,1121418,L11214
1121418,1121419,L11214
1121419,1121420,L11214
1121420,1121421,L11214
1121421,1121422,L11214
1121422,1121423,L11214
1121423,1121424,L11214
1121424,1121425,L11214
1121425,1121426,L11214
1121426,1121427,L11214
1121427,1121428,L11214
1121428,1121429,L11214
1121429,1121430,L11214
1121430,1121431,L11214
1121431,1121432,L11214
1121432,1121433,L11214
1121433,1121434,L11214
1121434,1121435,L11214
1121435,1121436,L11214
1121436,1121437,L11214
1121437,1121438,L11214
1121438,1121439,L11214
1121439,1121440,L11214
1121440,1121441,L11214
1121441,1121442,L11214
1121442,1121443,L11214
1121443,1121444,L11214
1121444,1121445,L11214
1121445,1121446,L11214
1121446,1121447,L11214
1121447,1121448,L11214
1121448,1121449,L11214
1121449,1121450,L11214
1121450,1121451,L11214
1121451,1121452,L11214
1121452,1121453,L11214
1121453,1121454,L11214
1121454,1121455,L11214
1121455,1121456,L11214
1121456,1121457,L11214
1121457,1121458,L11214
1121458,1121459,L11214
1121459,1121460,L11214
1121501,1121502,L11215
1121502,1121503,L11215
1121503,1121504,L11215
1121504,1121505,L11215
1121505,1121506,L11215
1121506,1121507,L11215
1121507,1121508,L11215
1121508,1121509,L11215
1121601,1121602,L11216
1121602,1121603,L11216
1121603,1121605,L11216
1121605,1121606,L11216
1121606,1121607,L11216
1121607,1121608,L11216
1121608,1121609,L11216
1121609,1121610,L11216
1121610,1121611,L11216
1121611,1121612,L11216
1121612,1121613,L11216
1121613,1121614,L11216
1121614,1121615,L11216
1121615,1121616,L11216
1121616,1121617,L11216
1121617,1121618,L11216
1121618,1121619,L11216
1121619,1121620,L11216
1121620,1121621,L11216
1121621,1121622,L11216
1121622,1121623,L11216
1121623,1121636,L11216
1121624,1121625,L11216
1121625,1121626,L11216
1121626,1121627,L11216
1121627,1121628,L11216
1121628,1121629,L11216
1121629,1121630,L11216
1121630,1121631,L11216
1121631,1121632,L11216
1121632,1121633,L11216
1121633,1121634,L11216
